Item,Type,RatePerUOM,UOM,BaseCharge,ChargeCap,Currency
LGB,ONT8,40,pallet,100,0,USD
LGB,ONT9,40,pallet,100,0,USD
LGB,LGB8,40,pallet,100,0,USD
LGB,LGB6,40,pallet,100,0,USD
LGB,LGB4,45,pallet,150,0,USD
LGB,KRB1,45,pallet,100,0,USD
LGB,LAX9,40,pallet,100,0,USD
LGB,SNA4,40,pallet,100,0,USD
LGB,LGB9,40,pallet,100,0,USD
LGB,SBD2,45,pallet,150,0,USD
LGB,OAK3,85,pallet,175,0,USD
LGB,SJC7,85,pallet,175,0,USD
LGB,SMF3,85,pallet,175,0,USD
LGB,LAS1,95,pallet,180,0,USD
LGB,LAS6,95,pallet,180,0,USD
LGB,PHX3,95,pallet,180,0,USD
LGB,PHX5,95,pallet,180,0,USD
LGB,PHX7,95,pallet,180,0,USD
LGB,FTW1,180,pallet,500,0,USD
LGB,FTW2,180,pallet,500,0,USD
LGB,DFW6,200,pallet,700,0,USD
LGB,SAT1,200,pallet,700,0,USD
LGB,MDW2,210,pallet,500,0,USD
LGB,MDW6,210,pallet,500,0,USD
LGB,MDW8,210,pallet,500,0,USD
LGB,MDW9,210,pallet,500,0,USD
LGB,IND2,240,pallet,700,0,USD
LGB,SLC2,200,pallet,700,0,USD
LGB,SLC3,200,pallet,700,0,USD
LGB,CMH2,260,pallet,700,0,USD
LGB,CMH3,260,pallet,700,0,USD
LGB,CHA1,280,pallet,800,0,USD
LGB,CHA2,280,pallet,800,0,USD
LGB,PHL2,330,pallet,800,0,USD
LGB,PHL5,330,pallet,800,0,USD
LGB,PHL6,330,pallet,800,0,USD
